query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10
"SELECT * FROM tb5 WHERE latitude = 545;","SELECT COUNT(*) FROM tb10 WHERE latitude = 159;","SELECT country, SUM(name) FROM tb47 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, country FROM tb5 WHERE {column1} > 354 AND {column2} < {value};","SELECT longitude, country FROM tb10 WHERE {column1} > 321 AND {column2} < {value};","SELECT name, COUNT(*) FROM tb20 GROUP BY {column1} HAVING COUNT(*) > 356;","SELECT AVG(name) FROM tb2 WHERE {column} > 421;","SELECT name, country FROM tb48 WHERE {column1} > 640 AND {column2} < {value};","SELECT name, MAX(latitude) FROM tb33 GROUP BY {column1};","SELECT AVG(age) FROM tb15 WHERE {column} > 126;"
"SELECT age, MAX(latitude) FROM tb39 GROUP BY {column1};","SELECT COUNT(*) FROM tb26 WHERE name = 78;","SELECT COUNT(*) FROM tb18 WHERE name = 705;","SELECT age, COUNT(*) FROM tb4 GROUP BY {column1} HAVING COUNT(*) > 91;","SELECT AVG(name) FROM tb26 WHERE {column} > 752;","SELECT name, SUM(latitude) FROM tb14 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb8 WHERE country = 821;","SELECT country, longitude FROM tb19 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, COUNT(*) FROM tb1 GROUP BY {column1} HAVING COUNT(*) > 163;","SELECT latitude, name FROM tb50 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT latitude, MAX(country) FROM tb20 GROUP BY {column1};","SELECT * FROM tb24 WHERE age = 370;","SELECT longitude, COUNT(*) FROM tb49 GROUP BY {column1} HAVING COUNT(*) > 365;","SELECT longitude, SUM(name) FROM tb8 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb1 WHERE longitude = 394;","SELECT longitude, age FROM tb14 WHERE {column1} > 595 AND {column2} < {value};","SELECT age, COUNT(*) FROM tb33 GROUP BY {column1} HAVING COUNT(*) > 144;","SELECT COUNT(*) FROM tb33 WHERE age = 256;","SELECT longitude, SUM(longitude) FROM tb29 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, country FROM tb8 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT * FROM tb46 WHERE age = 750;","SELECT name, MAX(name) FROM tb47 GROUP BY {column1};","SELECT * FROM tb25 WHERE name = 740;","SELECT * FROM tb30 WHERE name = 610;","SELECT age, longitude FROM tb50 WHERE {column1} > 188 AND {column2} < {value};","SELECT COUNT(*) FROM tb18 WHERE name = 692;","SELECT country, MAX(country) FROM tb11 GROUP BY {column1};","SELECT * FROM tb2 WHERE latitude = 805;","SELECT country, COUNT(*) FROM tb10 GROUP BY {column1} HAVING COUNT(*) > 491;","SELECT name, MAX(latitude) FROM tb13 GROUP BY {column1};"
"SELECT AVG(age) FROM tb24 WHERE {column} > 203;","SELECT COUNT(*) FROM tb28 WHERE name = 867;","SELECT * FROM tb47 WHERE longitude = 779;","SELECT AVG(latitude) FROM tb25 WHERE {column} > 661;","SELECT age, SUM(country) FROM tb28 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb33 WHERE age = 213;","SELECT AVG(age) FROM tb1 WHERE {column} > 699;","SELECT COUNT(*) FROM tb18 WHERE age = 456;","SELECT age, SUM(age) FROM tb44 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, MAX(country) FROM tb40 GROUP BY {column1};"
"SELECT country, age FROM tb39 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb27 WHERE name = 298;","SELECT age, MAX(latitude) FROM tb41 GROUP BY {column1};","SELECT name, MAX(latitude) FROM tb8 GROUP BY {column1};","SELECT COUNT(*) FROM tb14 WHERE longitude = 725;","SELECT AVG(age) FROM tb50 WHERE {column} > 433;","SELECT AVG(longitude) FROM tb45 WHERE {column} > 144;","SELECT longitude, MAX(name) FROM tb50 GROUP BY {column1};","SELECT longitude, COUNT(*) FROM tb46 GROUP BY {column1} HAVING COUNT(*) > 173;","SELECT country, COUNT(*) FROM tb21 GROUP BY {column1} HAVING COUNT(*) > 821;"
"SELECT name, age FROM tb49 WHERE {column1} > 233 AND {column2} < {value};","SELECT age, MAX(country) FROM tb22 GROUP BY {column1};","SELECT longitude, name FROM tb23 WHERE {column1} > 317 AND {column2} < {value};","SELECT * FROM tb8 WHERE name = 461;","SELECT age, longitude FROM tb12 WHERE {column1} > 339 AND {column2} < {value};","SELECT * FROM tb31 WHERE latitude = 849;","SELECT * FROM tb21 WHERE country = 682;","SELECT * FROM tb45 WHERE latitude = 831;","SELECT longitude, SUM(longitude) FROM tb44 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, latitude FROM tb23 WHERE {column1} > 596 AND {column2} < {value};"
"SELECT latitude, longitude FROM tb4 WHERE {column1} > 432 AND {column2} < {value};","SELECT name, COUNT(*) FROM tb22 GROUP BY {column1} HAVING COUNT(*) > 173;","SELECT country, MAX(name) FROM tb47 GROUP BY {column1};","SELECT country, MAX(country) FROM tb31 GROUP BY {column1};","SELECT * FROM tb40 WHERE latitude = 899;","SELECT country, SUM(longitude) FROM tb46 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, SUM(latitude) FROM tb9 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, COUNT(*) FROM tb25 GROUP BY {column1} HAVING COUNT(*) > 733;","SELECT * FROM tb2 WHERE name = 762;","SELECT COUNT(*) FROM tb11 WHERE latitude = 903;"
"SELECT * FROM tb50 WHERE longitude = 342;","SELECT latitude, country FROM tb48 WHERE {column1} > 766 AND {column2} < {value};","SELECT longitude, country FROM tb40 WHERE {column1} > 642 AND {column2} < {value};","SELECT longitude, MAX(latitude) FROM tb8 GROUP BY {column1};","SELECT * FROM tb29 WHERE latitude = 454;","SELECT name, MAX(age) FROM tb48 GROUP BY {column1};","SELECT name, age FROM tb26 WHERE {column1} > 752 AND {column2} < {value};","SELECT AVG(latitude) FROM tb32 WHERE {column} > 80;","SELECT country, name FROM tb41 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, SUM(latitude) FROM tb37 GROUP BY {column1} ORDER BY SUM({column2}) DESC;"
"SELECT * FROM tb32 WHERE age = 337;","SELECT AVG(longitude) FROM tb35 WHERE {column} > 814;","SELECT name, longitude FROM tb47 WHERE {column1} > 6 AND {column2} < {value};","SELECT AVG(age) FROM tb43 WHERE {column} > 347;","SELECT latitude, longitude FROM tb18 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb29 WHERE country = 16;","SELECT AVG(name) FROM tb2 WHERE {column} > 413;","SELECT * FROM tb29 WHERE latitude = 153;","SELECT country, MAX(latitude) FROM tb46 GROUP BY {column1};","SELECT AVG(latitude) FROM tb3 WHERE {column} > 90;"
"SELECT latitude, country FROM tb46 WHERE {column1} > 372 AND {column2} < {value};","SELECT latitude, MAX(country) FROM tb20 GROUP BY {column1};","SELECT age, MAX(name) FROM tb32 GROUP BY {column1};","SELECT name, SUM(longitude) FROM tb2 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(country) FROM tb4 WHERE {column} > 153;","SELECT latitude, SUM(latitude) FROM tb47 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb5 WHERE latitude = 932;","SELECT * FROM tb6 WHERE longitude = 468;","SELECT * FROM tb20 WHERE country = 225;","SELECT name, MAX(country) FROM tb1 GROUP BY {column1};"
"SELECT AVG(name) FROM tb45 WHERE {column} > 974;","SELECT COUNT(*) FROM tb22 WHERE country = 60;","SELECT name, latitude FROM tb29 WHERE {column1} > 210 AND {column2} < {value};","SELECT latitude, SUM(latitude) FROM tb17 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, COUNT(*) FROM tb22 GROUP BY {column1} HAVING COUNT(*) > 388;","SELECT COUNT(*) FROM tb41 WHERE age = 264;","SELECT longitude, MAX(country) FROM tb32 GROUP BY {column1};","SELECT country, country FROM tb46 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, MAX(name) FROM tb50 GROUP BY {column1};","SELECT * FROM tb10 WHERE name = 439;"
"SELECT name, name FROM tb6 WHERE {column1} > 578 AND {column2} < {value};","SELECT country, SUM(longitude) FROM tb40 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb14 WHERE latitude = 303;","SELECT country, SUM(name) FROM tb9 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb34 WHERE age = 864;","SELECT age, MAX(age) FROM tb39 GROUP BY {column1};","SELECT COUNT(*) FROM tb32 WHERE name = 140;","SELECT AVG(longitude) FROM tb35 WHERE {column} > 442;","SELECT latitude, country FROM tb26 WHERE {column1} > 967 AND {column2} < {value};","SELECT * FROM tb30 WHERE name = 550;"
"SELECT COUNT(*) FROM tb35 WHERE country = 666;","SELECT COUNT(*) FROM tb12 WHERE longitude = 82;","SELECT AVG(name) FROM tb49 WHERE {column} > 394;","SELECT AVG(country) FROM tb48 WHERE {column} > 584;","SELECT latitude, age FROM tb47 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, MAX(latitude) FROM tb27 GROUP BY {column1};","SELECT AVG(age) FROM tb44 WHERE {column} > 606;","SELECT COUNT(*) FROM tb33 WHERE longitude = 474;","SELECT name, country FROM tb17 WHERE {column1} > 930 AND {column2} < {value};","SELECT COUNT(*) FROM tb35 WHERE country = 746;"
"SELECT name, latitude FROM tb36 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, MAX(latitude) FROM tb17 GROUP BY {column1};","SELECT AVG(longitude) FROM tb45 WHERE {column} > 466;","SELECT age, latitude FROM tb15 WHERE {column1} > 491 AND {column2} < {value};","SELECT AVG(latitude) FROM tb19 WHERE {column} > 959;","SELECT age, country FROM tb42 WHERE {column1} > 367 AND {column2} < {value};","SELECT AVG(longitude) FROM tb23 WHERE {column} > 926;","SELECT latitude, COUNT(*) FROM tb1 GROUP BY {column1} HAVING COUNT(*) > 457;","SELECT country, country FROM tb43 WHERE {column1} > 955 AND {column2} < {value};","SELECT age, latitude FROM tb30 WHERE {column1} > 876 AND {column2} < {value};"
"SELECT latitude, age FROM tb10 WHERE {column1} > 284 AND {column2} < {value};","SELECT latitude, MAX(longitude) FROM tb26 GROUP BY {column1};","SELECT country, country FROM tb8 WHERE {column1} > 46 AND {column2} < {value};","SELECT latitude, COUNT(*) FROM tb20 GROUP BY {column1} HAVING COUNT(*) > 482;","SELECT country, SUM(age) FROM tb7 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, SUM(longitude) FROM tb13 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, latitude FROM tb37 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, name FROM tb21 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, COUNT(*) FROM tb45 GROUP BY {column1} HAVING COUNT(*) > 592;","SELECT longitude, longitude FROM tb50 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT latitude, MAX(latitude) FROM tb15 GROUP BY {column1};","SELECT COUNT(*) FROM tb41 WHERE longitude = 844;","SELECT country, MAX(latitude) FROM tb15 GROUP BY {column1};","SELECT latitude, COUNT(*) FROM tb29 GROUP BY {column1} HAVING COUNT(*) > 756;","SELECT longitude, COUNT(*) FROM tb5 GROUP BY {column1} HAVING COUNT(*) > 603;","SELECT name, latitude FROM tb2 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, COUNT(*) FROM tb30 GROUP BY {column1} HAVING COUNT(*) > 906;","SELECT * FROM tb43 WHERE longitude = 72;","SELECT latitude, latitude FROM tb9 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, latitude FROM tb29 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT age, SUM(longitude) FROM tb15 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb13 WHERE country = 269;","SELECT * FROM tb36 WHERE longitude = 24;","SELECT country, SUM(age) FROM tb15 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb9 WHERE name = 595;","SELECT COUNT(*) FROM tb49 WHERE name = 90;","SELECT country, COUNT(*) FROM tb31 GROUP BY {column1} HAVING COUNT(*) > 488;","SELECT longitude, country FROM tb41 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT longitude, longitude FROM tb42 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb24 WHERE longitude = 823;"
"SELECT name, longitude FROM tb49 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, country FROM tb28 WHERE {column1} > 990 AND {column2} < {value};","SELECT age, MAX(latitude) FROM tb11 GROUP BY {column1};","SELECT country, name FROM tb36 WHERE {column1} > 548 AND {column2} < {value};","SELECT longitude, COUNT(*) FROM tb17 GROUP BY {column1} HAVING COUNT(*) > 932;","SELECT longitude, MAX(country) FROM tb15 GROUP BY {column1};","SELECT COUNT(*) FROM tb23 WHERE longitude = 54;","SELECT age, SUM(longitude) FROM tb45 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, SUM(age) FROM tb50 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb24 WHERE name = 830;"
"SELECT name, COUNT(*) FROM tb25 GROUP BY {column1} HAVING COUNT(*) > 622;","SELECT * FROM tb11 WHERE age = 37;","SELECT longitude, SUM(country) FROM tb34 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, COUNT(*) FROM tb33 GROUP BY {column1} HAVING COUNT(*) > 91;","SELECT * FROM tb11 WHERE country = 848;","SELECT country, COUNT(*) FROM tb18 GROUP BY {column1} HAVING COUNT(*) > 147;","SELECT * FROM tb1 WHERE name = 455;","SELECT country, MAX(name) FROM tb25 GROUP BY {column1};","SELECT age, age FROM tb29 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb37 WHERE country = 127;"
"SELECT name, MAX(longitude) FROM tb44 GROUP BY {column1};","SELECT longitude, MAX(name) FROM tb40 GROUP BY {column1};","SELECT * FROM tb29 WHERE age = 858;","SELECT COUNT(*) FROM tb18 WHERE longitude = 818;","SELECT name, SUM(country) FROM tb22 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, age FROM tb48 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, latitude FROM tb39 WHERE {column1} > 285 AND {column2} < {value};","SELECT country, longitude FROM tb30 WHERE {column1} > 458 AND {column2} < {value};","SELECT longitude, latitude FROM tb33 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT longitude, age FROM tb31 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT age, SUM(age) FROM tb37 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, COUNT(*) FROM tb29 GROUP BY {column1} HAVING COUNT(*) > 987;","SELECT AVG(longitude) FROM tb48 WHERE {column} > 761;","SELECT * FROM tb20 WHERE name = 971;","SELECT name, MAX(longitude) FROM tb38 GROUP BY {column1};","SELECT COUNT(*) FROM tb45 WHERE age = 29;","SELECT latitude, COUNT(*) FROM tb35 GROUP BY {column1} HAVING COUNT(*) > 463;","SELECT COUNT(*) FROM tb33 WHERE age = 966;","SELECT country, age FROM tb50 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb23 WHERE latitude = 275;"
"SELECT longitude, SUM(age) FROM tb41 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, SUM(latitude) FROM tb44 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT country, latitude FROM tb40 WHERE {column1} > 825 AND {column2} < {value};","SELECT longitude, COUNT(*) FROM tb46 GROUP BY {column1} HAVING COUNT(*) > 708;","SELECT latitude, COUNT(*) FROM tb38 GROUP BY {column1} HAVING COUNT(*) > 82;","SELECT AVG(longitude) FROM tb31 WHERE {column} > 658;","SELECT age, country FROM tb50 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb43 WHERE age = 184;","SELECT latitude, SUM(country) FROM tb38 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT country, country FROM tb14 WHERE {column1} > 868 AND {column2} < {value};"
"SELECT COUNT(*) FROM tb37 WHERE latitude = 264;","SELECT name, MAX(name) FROM tb49 GROUP BY {column1};","SELECT longitude, MAX(name) FROM tb15 GROUP BY {column1};","SELECT AVG(age) FROM tb43 WHERE {column} > 365;","SELECT latitude, MAX(country) FROM tb16 GROUP BY {column1};","SELECT longitude, country FROM tb36 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT AVG(latitude) FROM tb8 WHERE {column} > 147;","SELECT * FROM tb18 WHERE latitude = 896;","SELECT country, MAX(name) FROM tb48 GROUP BY {column1};","SELECT longitude, MAX(age) FROM tb13 GROUP BY {column1};"
"SELECT latitude, longitude FROM tb45 WHERE {column1} > 599 AND {column2} < {value};","SELECT COUNT(*) FROM tb47 WHERE name = 430;","SELECT longitude, age FROM tb45 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb11 WHERE age = 989;","SELECT COUNT(*) FROM tb50 WHERE latitude = 511;","SELECT AVG(latitude) FROM tb29 WHERE {column} > 660;","SELECT * FROM tb7 WHERE name = 178;","SELECT longitude, MAX(name) FROM tb4 GROUP BY {column1};","SELECT country, country FROM tb4 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb30 WHERE country = 429;"
"SELECT AVG(country) FROM tb15 WHERE {column} > 17;","SELECT age, country FROM tb8 WHERE {column1} > 25 AND {column2} < {value};","SELECT * FROM tb8 WHERE country = 357;","SELECT age, country FROM tb30 WHERE {column1} > 173 AND {column2} < {value};","SELECT COUNT(*) FROM tb35 WHERE age = 146;","SELECT country, name FROM tb33 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb23 WHERE longitude = 938;","SELECT age, MAX(name) FROM tb20 GROUP BY {column1};","SELECT COUNT(*) FROM tb17 WHERE name = 331;","SELECT country, MAX(country) FROM tb35 GROUP BY {column1};"
"SELECT name, longitude FROM tb29 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb50 WHERE latitude = 179;","SELECT country, MAX(longitude) FROM tb38 GROUP BY {column1};","SELECT name, MAX(name) FROM tb6 GROUP BY {column1};","SELECT name, MAX(country) FROM tb11 GROUP BY {column1};","SELECT country, SUM(latitude) FROM tb45 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, country FROM tb7 WHERE {column1} > 338 AND {column2} < {value};","SELECT longitude, latitude FROM tb30 WHERE {column1} > 283 AND {column2} < {value};","SELECT latitude, latitude FROM tb46 WHERE {column1} > 350 AND {column2} < {value};","SELECT age, MAX(country) FROM tb16 GROUP BY {column1};"
"SELECT country, COUNT(*) FROM tb13 GROUP BY {column1} HAVING COUNT(*) > 655;","SELECT latitude, name FROM tb25 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT longitude, longitude FROM tb11 WHERE {column1} > 808 AND {column2} < {value};","SELECT name, MAX(age) FROM tb38 GROUP BY {column1};","SELECT COUNT(*) FROM tb45 WHERE age = 789;","SELECT AVG(country) FROM tb14 WHERE {column} > 655;","SELECT longitude, name FROM tb44 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, age FROM tb30 WHERE {column1} > 184 AND {column2} < {value};","SELECT * FROM tb8 WHERE latitude = 662;","SELECT AVG(country) FROM tb11 WHERE {column} > 627;"
"SELECT latitude, country FROM tb27 WHERE {column1} > 870 AND {column2} < {value};","SELECT AVG(country) FROM tb38 WHERE {column} > 618;","SELECT * FROM tb29 WHERE longitude = 478;","SELECT country, COUNT(*) FROM tb9 GROUP BY {column1} HAVING COUNT(*) > 782;","SELECT age, SUM(longitude) FROM tb39 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb38 WHERE country = 325;","SELECT COUNT(*) FROM tb8 WHERE name = 650;","SELECT * FROM tb28 WHERE country = 996;","SELECT longitude, age FROM tb45 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb12 WHERE name = 403;"
